Tipuri de lucrari si tipuri de constructii, Luni, UM: Procente, Valoare
Cladiri rezidentiale, Luna ianuarie 2005, Procente, 38.6
Cladiri rezidentiale, Luna februarie 2005, Procente, 38.1
Cladiri rezidentiale, Luna martie 2005, Procente, 38.9
Cladiri rezidentiale, Luna aprilie 2005, Procente, 41.5
Cladiri rezidentiale, Luna mai 2005, Procente, 40.2
Cladiri rezidentiale, Luna iunie 2005, Procente, 40.1
Cladiri rezidentiale, Luna iulie 2005, Procente, 41
Cladiri rezidentiale, Luna august 2005, Procente, 42.1
Cladiri rezidentiale, Luna septembrie 2005, Procente, 41
Cladiri rezidentiale, Luna octombrie 2005, Procente, 41.3
Cladiri rezidentiale, Luna noiembrie 2005, Procente, 42
Cladiri rezidentiale, Luna decembrie 2005, Procente, 42.2
Cladiri rezidentiale, Luna ianuarie 2006, Procente, 42.8
Cladiri rezidentiale, Luna februarie 2006, Procente, 41.4
Cladiri rezidentiale, Luna martie 2006, Procente, 41.4
Cladiri rezidentiale, Luna aprilie 2006, Procente, 44.4
Cladiri rezidentiale, Luna mai 2006, Procente, 45.3
Cladiri rezidentiale, Luna iunie 2006, Procente, 45.7
Cladiri rezidentiale, Luna iulie 2006, Procente, 45.9
Cladiri rezidentiale, Luna august 2006, Procente, 47.1
Cladiri rezidentiale, Luna septembrie 2006, Procente, 43.7
Cladiri rezidentiale, Luna octombrie 2006, Procente, 46.8
Cladiri rezidentiale, Luna noiembrie 2006, Procente, 47.1
Cladiri rezidentiale, Luna decembrie 2006, Procente, 48.4
Cladiri rezidentiale, Luna ianuarie 2007, Procente, 47.4
Cladiri rezidentiale, Luna februarie 2007, Procente, 47.3
Cladiri rezidentiale, Luna martie 2007, Procente, 48.3
Cladiri rezidentiale, Luna aprilie 2007, Procente, 48.4
Cladiri rezidentiale, Luna mai 2007, Procente, 49.9
Cladiri rezidentiale, Luna iunie 2007, Procente, 49.7
Cladiri rezidentiale, Luna iulie 2007, Procente, 49.6
Cladiri rezidentiale, Luna august 2007, Procente, 50.5
Cladiri rezidentiale, Luna septembrie 2007, Procente, 50.2
Cladiri rezidentiale, Luna octombrie 2007, Procente, 50.5
Cladiri rezidentiale, Luna noiembrie 2007, Procente, 51.1
Cladiri rezidentiale, Luna decembrie 2007, Procente, 51.7
Cladiri rezidentiale, Luna ianuarie 2008, Procente, 52.5
Cladiri rezidentiale, Luna februarie 2008, Procente, 53.3
Cladiri rezidentiale, Luna martie 2008, Procente, 55.6
Cladiri rezidentiale, Luna aprilie 2008, Procente, 57.1
Cladiri rezidentiale, Luna mai 2008, Procente, 58.3
Cladiri rezidentiale, Luna iunie 2008, Procente, 59.3
Cladiri rezidentiale, Luna iulie 2008, Procente, 61
Cladiri rezidentiale, Luna august 2008, Procente, 60.9
Cladiri rezidentiale, Luna septembrie 2008, Procente, 60
Cladiri rezidentiale, Luna octombrie 2008, Procente, 59.2
Cladiri rezidentiale, Luna noiembrie 2008, Procente, 57
Cladiri rezidentiale, Luna decembrie 2008, Procente, 56.7
Cladiri rezidentiale, Luna ianuarie 2009, Procente, 57.1
Cladiri rezidentiale, Luna februarie 2009, Procente, 57.2
Cladiri rezidentiale, Luna martie 2009, Procente, 58.8
Cladiri rezidentiale, Luna aprilie 2009, Procente, 57.8
Cladiri rezidentiale, Luna mai 2009, Procente, 57.7
Cladiri rezidentiale, Luna iunie 2009, Procente, 58.3
Cladiri rezidentiale, Luna iulie 2009, Procente, 58.4
Cladiri rezidentiale, Luna august 2009, Procente, 58.6
Cladiri rezidentiale, Luna septembrie 2009, Procente, 60.4
Cladiri rezidentiale, Luna octombrie 2009, Procente, 61.4
Cladiri rezidentiale, Luna noiembrie 2009, Procente, 58.7
Cladiri rezidentiale, Luna decembrie 2009, Procente, 58
Cladiri rezidentiale, Luna ianuarie 2010, Procente, 57.2
Cladiri rezidentiale, Luna februarie 2010, Procente, 57.8
Cladiri rezidentiale, Luna martie 2010, Procente, 59.1
Cladiri rezidentiale, Luna aprilie 2010, Procente, 59.5
Cladiri rezidentiale, Luna mai 2010, Procente, 60.7
Cladiri rezidentiale, Luna iunie 2010, Procente, 60.6
Cladiri rezidentiale, Luna iulie 2010, Procente, 60.9
Cladiri rezidentiale, Luna august 2010, Procente, 59.9
Cladiri rezidentiale, Luna septembrie 2010, Procente, 59.4
Cladiri rezidentiale, Luna octombrie 2010, Procente, 59.9
Cladiri rezidentiale, Luna noiembrie 2010, Procente, 60.3
Cladiri rezidentiale, Luna decembrie 2010, Procente, 60.5
Cladiri rezidentiale, Luna ianuarie 2011, Procente, 62.3
Cladiri rezidentiale, Luna februarie 2011, Procente, 63
Cladiri rezidentiale, Luna martie 2011, Procente, 63.6
Cladiri rezidentiale, Luna aprilie 2011, Procente, 64.3
Cladiri rezidentiale, Luna mai 2011, Procente, 64.5
Cladiri rezidentiale, Luna iunie 2011, Procente, 65.1
Cladiri rezidentiale, Luna iulie 2011, Procente, 65.6
Cladiri rezidentiale, Luna august 2011, Procente, 65.2
Cladiri rezidentiale, Luna septembrie 2011, Procente, 65.8
Cladiri rezidentiale, Luna octombrie 2011, Procente, 67.2
Cladiri rezidentiale, Luna noiembrie 2011, Procente, 66.8
Cladiri rezidentiale, Luna decembrie 2011, Procente, 66.7
Cladiri rezidentiale, Luna ianuarie 2012, Procente, 66.2
Cladiri rezidentiale, Luna februarie 2012, Procente, 66.2
Cladiri rezidentiale, Luna martie 2012, Procente, 67.1
Cladiri rezidentiale, Luna aprilie 2012, Procente, 69.1
Cladiri rezidentiale, Luna mai 2012, Procente, 71.3
Cladiri rezidentiale, Luna iunie 2012, Procente, 70.1
Cladiri rezidentiale, Luna iulie 2012, Procente, 69.9
Cladiri rezidentiale, Luna august 2012, Procente, 69.4
Cladiri rezidentiale, Luna septembrie 2012, Procente, 70.6
Cladiri rezidentiale, Luna octombrie 2012, Procente, 71
Cladiri rezidentiale, Luna noiembrie 2012, Procente, 70.8
Cladiri rezidentiale, Luna decembrie 2012, Procente, 68.2
Cladiri rezidentiale, Luna ianuarie 2013, Procente, 66
Cladiri rezidentiale, Luna februarie 2013, Procente, 65.9
Cladiri rezidentiale, Luna martie 2013, Procente, 66
Cladiri rezidentiale, Luna aprilie 2013, Procente, 66.7
Cladiri rezidentiale, Luna mai 2013, Procente, 66
Cladiri rezidentiale, Luna iunie 2013, Procente, 66.2
Cladiri rezidentiale, Luna iulie 2013, Procente, 66.5
Cladiri rezidentiale, Luna august 2013, Procente, 66.3
Cladiri rezidentiale, Luna septembrie 2013, Procente, 66.3
Cladiri rezidentiale, Luna octombrie 2013, Procente, 66.4
Cladiri rezidentiale, Luna noiembrie 2013, Procente, 66.2
Cladiri rezidentiale, Luna decembrie 2013, Procente, 65.8
Cladiri rezidentiale, Luna ianuarie 2014, Procente, 65.5
Cladiri rezidentiale, Luna februarie 2014, Procente, 65.3
Cladiri rezidentiale, Luna martie 2014, Procente, 65.6
Cladiri rezidentiale, Luna aprilie 2014, Procente, 65.6
Cladiri rezidentiale, Luna mai 2014, Procente, 65.6
Cladiri rezidentiale, Luna iunie 2014, Procente, 65.7
Cladiri rezidentiale, Luna iulie 2014, Procente, 66.1
Cladiri rezidentiale, Luna august 2014, Procente, 66
Cladiri rezidentiale, Luna septembrie 2014, Procente, 66.6
Cladiri rezidentiale, Luna octombrie 2014, Procente, 66.2
Cladiri rezidentiale, Luna noiembrie 2014, Procente, 66.4
Cladiri rezidentiale, Luna decembrie 2014, Procente, 65.4
Cladiri rezidentiale, Luna ianuarie 2015, Procente, 64.8
Cladiri rezidentiale, Luna februarie 2015, Procente, 65.4
Cladiri rezidentiale, Luna martie 2015, Procente, 66.4
Cladiri rezidentiale, Luna aprilie 2015, Procente, 66
Cladiri rezidentiale, Luna mai 2015, Procente, 66
Cladiri rezidentiale, Luna iunie 2015, Procente, 66.3
Cladiri rezidentiale, Luna iulie 2015, Procente, 65.7
Cladiri rezidentiale, Luna august 2015, Procente, 65.1
Cladiri rezidentiale, Luna septembrie 2015, Procente, 64.5
Cladiri rezidentiale, Luna octombrie 2015, Procente, 63.8
Cladiri rezidentiale, Luna noiembrie 2015, Procente, 65.6
Cladiri rezidentiale, Luna decembrie 2015, Procente, 65
Cladiri rezidentiale, Luna ianuarie 2016, Procente, 64.3
Cladiri rezidentiale, Luna februarie 2016, Procente, 64.8
Cladiri rezidentiale, Luna martie 2016, Procente, 64.1
Cladiri rezidentiale, Luna aprilie 2016, Procente, 66.5
Cladiri rezidentiale, Luna mai 2016, Procente, 65.5
Cladiri rezidentiale, Luna iunie 2016, Procente, 66.4
Cladiri rezidentiale, Luna iulie 2016, Procente, 66.1
Cladiri rezidentiale, Luna august 2016, Procente, 65.1
Cladiri rezidentiale, Luna septembrie 2016, Procente, 65.2
Cladiri rezidentiale, Luna octombrie 2016, Procente, 66.4
Cladiri rezidentiale, Luna noiembrie 2016, Procente, 67.9
Cladiri rezidentiale, Luna decembrie 2016, Procente, 68.7
Cladiri rezidentiale, Luna ianuarie 2017, Procente, 68.3
Cladiri rezidentiale, Luna februarie 2017, Procente, 69.8
Cladiri rezidentiale, Luna martie 2017, Procente, 70
Cladiri rezidentiale, Luna aprilie 2017, Procente, 70
Cladiri rezidentiale, Luna mai 2017, Procente, 69.5
Cladiri rezidentiale, Luna iunie 2017, Procente, 70.6
Cladiri rezidentiale, Luna iulie 2017, Procente, 70.7
Cladiri rezidentiale, Luna august 2017, Procente, 70.9
Cladiri rezidentiale, Luna septembrie 2017, Procente, 71.9
Cladiri rezidentiale, Luna octombrie 2017, Procente, 72.3
Cladiri rezidentiale, Luna noiembrie 2017, Procente, 73.9
Cladiri rezidentiale, Luna decembrie 2017, Procente, 74.7
Cladiri rezidentiale, Luna ianuarie 2018, Procente, 76.1
Cladiri rezidentiale, Luna februarie 2018, Procente, 78.7
Cladiri rezidentiale, Luna martie 2018, Procente, 78.6
Cladiri rezidentiale, Luna aprilie 2018, Procente, 78.1
Cladiri rezidentiale, Luna mai 2018, Procente, 78.2
Cladiri rezidentiale, Luna iunie 2018, Procente, 79.7
Cladiri rezidentiale, Luna iulie 2018, Procente, 80.3
Cladiri rezidentiale, Luna august 2018, Procente, 80.4
Cladiri rezidentiale, Luna septembrie 2018, Procente, 80
Cladiri rezidentiale, Luna octombrie 2018, Procente, 82.5
Cladiri rezidentiale, Luna noiembrie 2018, Procente, 83.8
Cladiri rezidentiale, Luna decembrie 2018, Procente, 82.1
Cladiri rezidentiale, Luna ianuarie 2019, Procente, 83.7
Cladiri rezidentiale, Luna februarie 2019, Procente, 84.6
Cladiri rezidentiale, Luna martie 2019, Procente, 86.8
Cladiri rezidentiale, Luna aprilie 2019, Procente, 87.5
Cladiri rezidentiale, Luna mai 2019, Procente, 88.3
Cladiri rezidentiale, Luna iunie 2019, Procente, 88.2
Cladiri rezidentiale, Luna iulie 2019, Procente, 88.5
Cladiri rezidentiale, Luna august 2019, Procente, 88.2
Cladiri rezidentiale, Luna septembrie 2019, Procente, 87.5
Cladiri rezidentiale, Luna octombrie 2019, Procente, 88
Cladiri rezidentiale, Luna noiembrie 2019, Procente, 90.2
Cladiri rezidentiale, Luna decembrie 2019, Procente, 89.6
Cladiri rezidentiale, Luna ianuarie 2020, Procente, 87.5
Cladiri rezidentiale, Luna februarie 2020, Procente, 88.2
Cladiri rezidentiale, Luna martie 2020, Procente, 86.9
Cladiri rezidentiale, Luna aprilie 2020, Procente, 87.3
Cladiri rezidentiale, Luna mai 2020, Procente, 87.6
Cladiri rezidentiale, Luna iunie 2020, Procente, 88.8
Cladiri rezidentiale, Luna iulie 2020, Procente, 88.9
Cladiri rezidentiale, Luna august 2020, Procente, 88.9
Cladiri rezidentiale, Luna septembrie 2020, Procente, 89.5
Cladiri rezidentiale, Luna octombrie 2020, Procente, 89
Cladiri rezidentiale, Luna noiembrie 2020, Procente, 91.7
Cladiri rezidentiale, Luna decembrie 2020, Procente, 91.6
Cladiri rezidentiale, Luna ianuarie 2021, Procente, 88.3
Cladiri rezidentiale, Luna februarie 2021, Procente, 88.9
Cladiri rezidentiale, Luna martie 2021, Procente, 92.2
Cladiri rezidentiale, Luna aprilie 2021, Procente, 96.7
Cladiri rezidentiale, Luna mai 2021, Procente, 98.5
Cladiri rezidentiale, Luna iunie 2021, Procente, 100.9
Cladiri rezidentiale, Luna iulie 2021, Procente, 102.8
Cladiri rezidentiale, Luna august 2021, Procente, 103.6
Cladiri rezidentiale, Luna septembrie 2021, Procente, 104.9
Cladiri rezidentiale, Luna octombrie 2021, Procente, 106
Cladiri rezidentiale, Luna noiembrie 2021, Procente, 108.3
Cladiri rezidentiale, Luna decembrie 2021, Procente, 109.1
Cladiri rezidentiale, Luna ianuarie 2022, Procente, 109
Cladiri rezidentiale, Luna februarie 2022, Procente, 110.5
Cladiri rezidentiale, Luna martie 2022, Procente, 118.2
Cladiri rezidentiale, Luna aprilie 2022, Procente, 119.9
Cladiri rezidentiale, Luna mai 2022, Procente, 120.6
Cladiri rezidentiale, Luna iunie 2022, Procente, 122.2
Cladiri rezidentiale, Luna iulie 2022, Procente, 124.7
Cladiri rezidentiale, Luna august 2022, Procente, 119.4
Cladiri rezidentiale, Luna septembrie 2022, Procente, 119.4
Cladiri rezidentiale, Luna octombrie 2022, Procente, 120.5
Cladiri rezidentiale, Luna noiembrie 2022, Procente, 121.8
Cladiri rezidentiale, Luna decembrie 2022, Procente, 121.9
Cladiri rezidentiale, Luna ianuarie 2023, Procente, 122.8
Cladiri rezidentiale, Luna februarie 2023, Procente, 123.2
Cladiri rezidentiale, Luna martie 2023, Procente, 126.4
Cladiri rezidentiale, Luna aprilie 2023, Procente, 126.3
Cladiri rezidentiale, Luna mai 2023, Procente, 126.6
Cladiri rezidentiale, Luna iunie 2023, Procente, 127.6
Cladiri rezidentiale, Luna iulie 2023, Procente, 128.4
Cladiri rezidentiale, Luna august 2023, Procente, 129.4
Cladiri rezidentiale, Luna septembrie 2023, Procente, 131.2
Cladiri rezidentiale, Luna octombrie 2023, Procente, 130.2
Cladiri rezidentiale, Luna noiembrie 2023, Procente, 134.5
Cladiri rezidentiale, Luna decembrie 2023, Procente, 136.2
Cladiri rezidentiale, Luna ianuarie 2024, Procente, 136.7
Cladiri rezidentiale, Luna februarie 2024, Procente, 137.6
Cladiri rezidentiale, Luna martie 2024, Procente, 140.1
Cladiri rezidentiale, Luna aprilie 2024, Procente, 144
Cladiri rezidentiale, Luna mai 2024, Procente, 142.1
Cladiri rezidentiale, Luna iunie 2024, Procente, 142
Cladiri rezidentiale, Luna iulie 2024, Procente, 144.2
Cladiri rezidentiale, Luna august 2024, Procente, 140.2
Cladiri rezidentiale, Luna septembrie 2024, Procente, 140.2
Cladiri rezidentiale, Luna octombrie 2024, Procente, 141.5
Cladiri rezidentiale, Luna noiembrie 2024, Procente, 140.4
Cladiri rezidentiale, Luna decembrie 2024, Procente, 144.9
Cladiri rezidentiale, Luna ianuarie 2025, Procente, 143.6
Cladiri rezidentiale, Luna februarie 2025, Procente, 145.5
Cladiri rezidentiale, Luna martie 2025, Procente, 148.7
Cladiri rezidentiale, Luna aprilie 2025, Procente, 149.8
Cladiri rezidentiale, Luna mai 2025, Procente, 149
Cladiri rezidentiale, Luna iunie 2025, Procente, 151.1
Cladiri rezidentiale, Luna iulie 2025, Procente, 151.5
Cladiri rezidentiale, Luna august 2025, Procente, 151.7
Cladiri rezidentiale, Luna septembrie 2025, Procente, 153.5
Cladiri rezidentiale, Luna octombrie 2025, Procente, 152.5
Cladiri rezidentiale, Luna noiembrie 2025, Procente, 154.8
Cladiri rezidentiale, Luna decembrie 2025, Procente, 159
Cladiri rezidentiale, Luna ianuarie 2026, Procente, 152.9
Cladiri rezidentiale, Luna februarie 2026, Procente, 154.7
Cladiri rezidentiale, Luna martie 2026, Procente, 161.3
Cladiri nerezidentiale, Luna ianuarie 2005, Procente, 36.7
Cladiri nerezidentiale, Luna februarie 2005, Procente, 36.4
Cladiri nerezidentiale, Luna martie 2005, Procente, 36.9
Cladiri nerezidentiale, Luna aprilie 2005, Procente, 39.2
Cladiri nerezidentiale, Luna mai 2005, Procente, 38.1
Cladiri nerezidentiale, Luna iunie 2005, Procente, 38
Cladiri nerezidentiale, Luna iulie 2005, Procente, 39.1
Cladiri nerezidentiale, Luna august 2005, Procente, 40.2
Cladiri nerezidentiale, Luna septembrie 2005, Procente, 39.1
Cladiri nerezidentiale, Luna octombrie 2005, Procente, 39.4
Cladiri nerezidentiale, Luna noiembrie 2005, Procente, 40.1
Cladiri nerezidentiale, Luna decembrie 2005, Procente, 40.9
Cladiri nerezidentiale, Luna ianuarie 2006, Procente, 39.1
Cladiri nerezidentiale, Luna februarie 2006, Procente, 39.6
Cladiri nerezidentiale, Luna martie 2006, Procente, 39.6
Cladiri nerezidentiale, Luna aprilie 2006, Procente, 42.9
Cladiri nerezidentiale, Luna mai 2006, Procente, 43.5
Cladiri nerezidentiale, Luna iunie 2006, Procente, 43.6
Cladiri nerezidentiale, Luna iulie 2006, Procente, 43.8
Cladiri nerezidentiale, Luna august 2006, Procente, 44.9
Cladiri nerezidentiale, Luna septembrie 2006, Procente, 41.7
Cladiri nerezidentiale, Luna octombrie 2006, Procente, 44.6
Cladiri nerezidentiale, Luna noiembrie 2006, Procente, 44.9
Cladiri nerezidentiale, Luna decembrie 2006, Procente, 46
Cladiri nerezidentiale, Luna ianuarie 2007, Procente, 45.2
Cladiri nerezidentiale, Luna februarie 2007, Procente, 45.8
Cladiri nerezidentiale, Luna martie 2007, Procente, 46.7
Cladiri nerezidentiale, Luna aprilie 2007, Procente, 46.7
Cladiri nerezidentiale, Luna mai 2007, Procente, 47.5
Cladiri nerezidentiale, Luna iunie 2007, Procente, 47.4
Cladiri nerezidentiale, Luna iulie 2007, Procente, 47.3
Cladiri nerezidentiale, Luna august 2007, Procente, 48.3
Cladiri nerezidentiale, Luna septembrie 2007, Procente, 47.8
Cladiri nerezidentiale, Luna octombrie 2007, Procente, 46.8
Cladiri nerezidentiale, Luna noiembrie 2007, Procente, 47.5
Cladiri nerezidentiale, Luna decembrie 2007, Procente, 47.8
Cladiri nerezidentiale, Luna ianuarie 2008, Procente, 50.3
Cladiri nerezidentiale, Luna februarie 2008, Procente, 50.7
Cladiri nerezidentiale, Luna martie 2008, Procente, 53
Cladiri nerezidentiale, Luna aprilie 2008, Procente, 54.9
Cladiri nerezidentiale, Luna mai 2008, Procente, 55.8
Cladiri nerezidentiale, Luna iunie 2008, Procente, 56.6
Cladiri nerezidentiale, Luna iulie 2008, Procente, 58
Cladiri nerezidentiale, Luna august 2008, Procente, 58.2
Cladiri nerezidentiale, Luna septembrie 2008, Procente, 57.2
Cladiri nerezidentiale, Luna octombrie 2008, Procente, 56.7
Cladiri nerezidentiale, Luna noiembrie 2008, Procente, 54.8
Cladiri nerezidentiale, Luna decembrie 2008, Procente, 55.7
Cladiri nerezidentiale, Luna ianuarie 2009, Procente, 56
Cladiri nerezidentiale, Luna februarie 2009, Procente, 55.5
Cladiri nerezidentiale, Luna martie 2009, Procente, 57.1
Cladiri nerezidentiale, Luna aprilie 2009, Procente, 56.7
Cladiri nerezidentiale, Luna mai 2009, Procente, 56.2
Cladiri nerezidentiale, Luna iunie 2009, Procente, 57
Cladiri nerezidentiale, Luna iulie 2009, Procente, 57.5
Cladiri nerezidentiale, Luna august 2009, Procente, 57.8
Cladiri nerezidentiale, Luna septembrie 2009, Procente, 59.1
Cladiri nerezidentiale, Luna octombrie 2009, Procente, 59.9
Cladiri nerezidentiale, Luna noiembrie 2009, Procente, 57.9
Cladiri nerezidentiale, Luna decembrie 2009, Procente, 57.3
Cladiri nerezidentiale, Luna ianuarie 2010, Procente, 56.7
Cladiri nerezidentiale, Luna februarie 2010, Procente, 57
Cladiri nerezidentiale, Luna martie 2010, Procente, 58.3
Cladiri nerezidentiale, Luna aprilie 2010, Procente, 58.8
Cladiri nerezidentiale, Luna mai 2010, Procente, 60
Cladiri nerezidentiale, Luna iunie 2010, Procente, 59.9
Cladiri nerezidentiale, Luna iulie 2010, Procente, 60.2
Cladiri nerezidentiale, Luna august 2010, Procente, 59
Cladiri nerezidentiale, Luna septembrie 2010, Procente, 58.5
Cladiri nerezidentiale, Luna octombrie 2010, Procente, 59.1
Cladiri nerezidentiale, Luna noiembrie 2010, Procente, 59.8
Cladiri nerezidentiale, Luna decembrie 2010, Procente, 60
Cladiri nerezidentiale, Luna ianuarie 2011, Procente, 61.9
Cladiri nerezidentiale, Luna februarie 2011, Procente, 62.5
Cladiri nerezidentiale, Luna martie 2011, Procente, 63.1
Cladiri nerezidentiale, Luna aprilie 2011, Procente, 64.2
Cladiri nerezidentiale, Luna mai 2011, Procente, 64
Cladiri nerezidentiale, Luna iunie 2011, Procente, 64.5
Cladiri nerezidentiale, Luna iulie 2011, Procente, 65.3
Cladiri nerezidentiale, Luna august 2011, Procente, 64.7
Cladiri nerezidentiale, Luna septembrie 2011, Procente, 65.4
Cladiri nerezidentiale, Luna octombrie 2011, Procente, 66.9
Cladiri nerezidentiale, Luna noiembrie 2011, Procente, 66.5
Cladiri nerezidentiale, Luna decembrie 2011, Procente, 66.3
Cladiri nerezidentiale, Luna ianuarie 2012, Procente, 65.7
Cladiri nerezidentiale, Luna februarie 2012, Procente, 66.2
Cladiri nerezidentiale, Luna martie 2012, Procente, 66.7
Cladiri nerezidentiale, Luna aprilie 2012, Procente, 68.9
Cladiri nerezidentiale, Luna mai 2012, Procente, 71.1
Cladiri nerezidentiale, Luna iunie 2012, Procente, 69.7
Cladiri nerezidentiale, Luna iulie 2012, Procente, 69.5
Cladiri nerezidentiale, Luna august 2012, Procente, 69.1
Cladiri nerezidentiale, Luna septembrie 2012, Procente, 70.3
Cladiri nerezidentiale, Luna octombrie 2012, Procente, 70.7
Cladiri nerezidentiale, Luna noiembrie 2012, Procente, 70.6
Cladiri nerezidentiale, Luna decembrie 2012, Procente, 67.9
Cladiri nerezidentiale, Luna ianuarie 2013, Procente, 65.9
Cladiri nerezidentiale, Luna februarie 2013, Procente, 65.8
Cladiri nerezidentiale, Luna martie 2013, Procente, 66.1
Cladiri nerezidentiale, Luna aprilie 2013, Procente, 67
Cladiri nerezidentiale, Luna mai 2013, Procente, 66
Cladiri nerezidentiale, Luna iunie 2013, Procente, 66.2
Cladiri nerezidentiale, Luna iulie 2013, Procente, 66.7
Cladiri nerezidentiale, Luna august 2013, Procente, 66.3
Cladiri nerezidentiale, Luna septembrie 2013, Procente, 66.2
Cladiri nerezidentiale, Luna octombrie 2013, Procente, 66.2
Cladiri nerezidentiale, Luna noiembrie 2013, Procente, 66.3
Cladiri nerezidentiale, Luna decembrie 2013, Procente, 65.8
Cladiri nerezidentiale, Luna ianuarie 2014, Procente, 65.4
Cladiri nerezidentiale, Luna februarie 2014, Procente, 64.9
Cladiri nerezidentiale, Luna martie 2014, Procente, 65.3
Cladiri nerezidentiale, Luna aprilie 2014, Procente, 65.4
Cladiri nerezidentiale, Luna mai 2014, Procente, 65
Cladiri nerezidentiale, Luna iunie 2014, Procente, 65.2
Cladiri nerezidentiale, Luna iulie 2014, Procente, 65.9
Cladiri nerezidentiale, Luna august 2014, Procente, 65.8
Cladiri nerezidentiale, Luna septembrie 2014, Procente, 66.1
Cladiri nerezidentiale, Luna octombrie 2014, Procente, 65.3
Cladiri nerezidentiale, Luna noiembrie 2014, Procente, 65.7
Cladiri nerezidentiale, Luna decembrie 2014, Procente, 64.6
Cladiri nerezidentiale, Luna ianuarie 2015, Procente, 64
Cladiri nerezidentiale, Luna februarie 2015, Procente, 64.3
Cladiri nerezidentiale, Luna martie 2015, Procente, 65.3
Cladiri nerezidentiale, Luna aprilie 2015, Procente, 64.3
Cladiri nerezidentiale, Luna mai 2015, Procente, 64.1
Cladiri nerezidentiale, Luna iunie 2015, Procente, 64.4
Cladiri nerezidentiale, Luna iulie 2015, Procente, 64
Cladiri nerezidentiale, Luna august 2015, Procente, 63.6
Cladiri nerezidentiale, Luna septembrie 2015, Procente, 62.9
Cladiri nerezidentiale, Luna octombrie 2015, Procente, 62.2
Cladiri nerezidentiale, Luna noiembrie 2015, Procente, 64.2
Cladiri nerezidentiale, Luna decembrie 2015, Procente, 63.7
Cladiri nerezidentiale, Luna ianuarie 2016, Procente, 63.3
Cladiri nerezidentiale, Luna februarie 2016, Procente, 63.7
Cladiri nerezidentiale, Luna martie 2016, Procente, 62.9
Cladiri nerezidentiale, Luna aprilie 2016, Procente, 65.5
Cladiri nerezidentiale, Luna mai 2016, Procente, 64.2
Cladiri nerezidentiale, Luna iunie 2016, Procente, 65.2
Cladiri nerezidentiale, Luna iulie 2016, Procente, 64.9
Cladiri nerezidentiale, Luna august 2016, Procente, 64.4
Cladiri nerezidentiale, Luna septembrie 2016, Procente, 64.5
Cladiri nerezidentiale, Luna octombrie 2016, Procente, 65.7
Cladiri nerezidentiale, Luna noiembrie 2016, Procente, 67.4
Cladiri nerezidentiale, Luna decembrie 2016, Procente, 68.1
Cladiri nerezidentiale, Luna ianuarie 2017, Procente, 67.4
Cladiri nerezidentiale, Luna februarie 2017, Procente, 68.4
